TSS coordinate	Locus_tag	Strand
594944	ACX60_02910	-
597946	ACX60_02925	-
598086	ACX60_02930	+
598317	ACX60_02935	+
600974	ACX60_02945	+
601674	ACX60_02950	-
606418	ACX60_02960	-
606591	sRNA16	+
608163	ACX60_02975	+
613298	ACX60_02990	+
619592	ACX60_03020	-
621948	ACX60_03035	-
623911	ACX60_03040	-
624808	ACX60_03045	-
624883	ACX60_03050	+
627045	ACX60_03055	+
629191	ACX60_03060	-
630263	ACX60_03070	-
632211	ACX60_03075	-
634280	ACX60_03080	-
634884	ACX60_03090	+
638806	ACX60_03100	-
650120	ACX60_03160	+
656846	ACX60_03195	+
659892	ACX60_03200	+
665482	ACX60_03230	-
669004	ACX60_03240	-
670246	ACX60_03245	-
670269	ACX60_03250	+
675585	ACX60_03265	+
678686	ACX60_03280	-
680009	ACX60_03285	-
687749	ACX60_03320	-
687872	ACX60_03325	+
689899	ACX60_03330	+
690516	ACX60_03335	+
698921	ACX60_03375	-
699802	ACX60_03380	-
699941	ACX60_03385	+
701006	ACX60_03395	+
703739	ACX60_03405	-
719048	ACX60_03460	-
720132	ACX60_03470	+
723034	ACX60_03510	-
728788	ACX60_03530	+
731149	ACX60_03540	+
733469	ACX60_03550	+
734623	ACX60_03555	+
736148	ACX60_03560	+
737461	ACX60_03565	+
741741	ACX60_03580	+
751145	ACX60_03630	+
752864	ACX60_03635	-
753739	ACX60_03640	-
753847	ACX60_03645	+
756198	ACX60_03650	-
757489	ACX60_03660	+
759651	ACX60_03665	-
760721	ACX60_03675	+
766410	ACX60_03700	-
766588	ACX60_03705	+
768060	ACX60_03710	+
770918	ACX60_03725	-
774266	ACX60_03745	+
778345	ACX60_03760	+
785195	ACX60_03790	+
788772	ACX60_03795	-
788868	ACX60_03800	+
798423	ACX60_03840	-
802749	sRNA20	-
803691	ACX60_03875	+
804591	ACX60_03880	+
810500	ACX60_03905	-
812437	ACX60_03915	-
815710	ACX60_03930	-
815735	ACX60_03935	+
821213	ACX60_03960	-
821872	ACX60_03965	+
825373	ACX60_03985	+
833848	sRNA21	-
835120	ACX60_04010	-
835244	ACX60_04015	+
837250	ACX60_04025	+
854589	ACX60_04060	-
855189	ACX60_04070	+
860933	ACX60_04085	-
862681	ACX60_04100	-
862830	ACX60_04105	+
863551	ACX60_04110	+
865649	ACX60_04115	+
866631	ACX60_04120	+
867479	ACX60_04130	-
869718	ACX60_04145	-
869830	ACX60_04150	+
873577	ACX60_04165	-
879014	ACX60_04180	-
881119	ACX60_04195	+
886053	ACX60_04215	-
886155	ACX60_04220	+
890999	ACX60_04230	-
892101	ACX60_04235	-
892541	ACX60_04240	+
893605	ACX60_04245	+
895461	ACX60_04250	-
895603	ACX60_04255	+
896223	ACX60_04260	+
902566	ACX60_04280	-
905979	ACX60_04305	-
907526	sRNA24	+
913858	ACX60_04355	+
917874	ACX60_04370	+
922485	ACX60_04385	-
922774	ACX60_04390	+
924462	ACX60_04395	+
928956	ACX60_04420	+
930995	ACX60_04430	+
943118	ACX60_04475	+
945444	ACX60_04480	-
945664	ACX60_04485	+
952797	ACX60_04515	+
956448	ACX60_04530	-
966512	ACX60_04575	-
966615	ACX60_04580	+
968795	ACX60_04590	-
971960	ACX60_04610	-
976661	ACX60_04630	-
976888	ACX60_04635	+
982949	ACX60_04645	-
985303	ACX60_04655	-
985582	ACX60_04660	+
1002318	ACX60_04710	+
1021477	ACX60_04795	-
1027139	ACX60_04815	-
1027360	ACX60_04820	+
1030092	ACX60_04840	-
1031377	ACX60_04850	-
1034421	ACX60_04875	+
1040859	ACX60_04905	-
1043691	ACX60_04925	+
1045849	ACX60_04930	-
1046023	ACX60_04935	+
1047507	ACX60_04940	+
1057217	ACX60_05000	-
1058369	ACX60_05010	-
1063067	ACX60_05025	-
1064490	ACX60_05030	-
1064639	ACX60_05035	+
1067296	ACX60_05045	-
1070234	ACX60_05060	+
1071382	ACX60_05065	+
1074645	ACX60_05080	+
1082107	ACX60_05115	+
1091793	ACX60_05150	-
1092381	ACX60_05155	-
1095237	ACX60_05165	-
1097392	ACX60_05175	+
1100735	ACX60_05185	+
1105741	ACX60_05210	+
1107301	ACX60_05215	+
1113836	ACX60_05240	+
1114340	ACX60_05245	+
1117183	ACX60_05260	+
1117956	ACX60_05265	+
1121954	ACX60_05270	-
1122791	ACX60_05275	-
1127607	ACX60_05300	-
1127817	ACX60_05305	+
1131111	ACX60_05315	+
1136957	ACX60_05335	+
1146145	ACX60_05365	-
1150043	ACX60_05385	-
1151969	ACX60_05395	-
1152511	ACX60_05400	-
1154856	ACX60_05420	+
1158556	ACX60_05425	-
1158680	ACX60_05430	+
1161359	ACX60_05440	+
1162426	ACX60_05445	+
1168464	ACX60_05470	+
1171126	ACX60_05480	+
1174942	ACX60_05490	+
1187590	ACX60_05550	+
1188858	ACX60_05555	+
1190555	ACX60_05560	+
1192727	sRNA26	+
1196288	ACX60_05585	+
1198117	ACX60_05595	+
1202444	ACX60_05605	+
1222226	ACX60_05680	+
1224986	ACX60_05685	-
1225119	ACX60_05690	+
1230842	ACX60_05710	-
1231555	ACX60_05715	-
1239324	ACX60_05745	-
1239483	ACX60_05750	+
1245898	ACX60_05760	-
1250007	ACX60_05775	+
1253140	ACX60_05790	+
1254718	ACX60_05795	+
1255543	ACX60_05805	-
1255881	ACX60_05815	-
1256689	ACX60_05820	-
1257675	ACX60_05830	+
1262713	ACX60_05840	-
1265746	ACX60_05845	-
1266525	ACX60_05850	-
1269025	ACX60_05865	+
1272722	ACX60_05875	-
1273900	ACX60_05880	-
1274044	ACX60_05885	+
1276966	ACX60_05895	-
1281051	ACX60_05910	-
1287365	ACX60_05950	-
1289754	ACX60_05960	-
1293061	ACX60_05980	-
1293238	ACX60_05985	-
1294825	ACX60_05995	-
1303814	ACX60_06025	+
1308669	ACX60_06050	-
1310446	ACX60_06060	-
1311965	ACX60_06065	-
1312121	ACX60_06070	+
1313908	ACX60_06075	-
1316258	ACX60_06090	+
1320864	ACX60_06110	-
1324887	ACX60_06125	-
1324981	ACX60_06130	+
1327499	ACX60_06140	-
1327643	ACX60_06145	+
1331615	ACX60_06155	-
1331741	ACX60_06160	+
1335891	ACX60_06175	+
1340928	ACX60_06195	-
1344467	ACX60_06210	-
1347521	ACX60_06235	-
1348509	ACX60_06240	-
1348877	ACX60_06245	-
1349044	ACX60_06250	+
1349509	ACX60_06255	+
1351140	ACX60_06260	-
1351282	ACX60_06265	+
1353037	ACX60_06275	+
1355216	ACX60_06290	+
1358544	ACX60_06305	+
1362161	ACX60_06320	+
1364571	ACX60_06335	+
1370286	ACX60_06360	+
1380815	ACX60_06430	+
1381844	sRNA29	-
1396201	ACX60_06510	-
1396374	sRNA30	+
1398230	ACX60_06515	-
1401969	ACX60_06540	+
1407649	ACX60_06565	-
1407735	ACX60_06570	+
1409474	ACX60_06575	-
1415777	ACX60_06605	-
1416877	ACX60_06610	-
1418768	ACX60_06620	-
1421248	ACX60_06630	-
1423538	ACX60_06640	-
1425408	ACX60_06650	-
1425819	ACX60_06655	-
1425974	ACX60_06660	+
1428032	sRNA31	+
1429310	ACX60_06665	-
1435852	ACX60_06695	-
1437177	ACX60_06710	-
1442280	ACX60_06735	-
1445791	ACX60_06750	+
1447021	ACX60_06755	+
1456173	ACX60_06790	-
1458253	ACX60_06805	+
1465878	ACX60_06835	-
1465995	ACX60_06840	+
1478795	ACX60_06890	+
1489007	ACX60_06915	+
1492460	ACX60_06925	+
1495325	ACX60_06935	-
1495465	ACX60_06940	+
1496058	ACX60_06945	+
1497033	ACX60_06950	+
1498579	ACX60_06955	-
1498781	ACX60_06960	+
1499104	ACX60_06965	+
1512115	ACX60_07035	-
1519980	ACX60_07065	-
1521377	ACX60_07070	-
1521527	ACX60_07075	+
1525836	ACX60_07090	-
1526242	ACX60_07095	-
1534650	ACX60_07125	+
1536891	ACX60_07140	+
1538124	sRNA32	+
1538401	ACX60_07145	-
1538568	ACX60_07150	+
1539393	sRNA33	+
1542804	ACX60_07160	-
1547631	ACX60_07195	+
1551284	ACX60_07205	+
1554209	ACX60_07215	-
1561689	ACX60_07250	-
1561790	ACX60_07255	+
1579981	ACX60_07330	+
1581483	ACX60_07335	+
1589788	ACX60_07365	-
1589938	ACX60_07370	+
1591073	ACX60_07375	+
1597321	ACX60_07420	-
1600011	ACX60_07435	-
1606440	ACX60_07500	+
1607534	sRNA35	+
1608504	ACX60_07505	-
1625410	ACX60_07635	+
1641833	ACX60_07710	-
1643378	ACX60_07720	+
1658158	ACX60_07780	+
1664788	ACX60_07810	+
1670277	ACX60_07850	+
1672842	ACX60_07860	-
1673027	ACX60_07865	+
1673750	ACX60_07870	+
1677100	ACX60_07885	-
1678256	ACX60_07890	-
1678974	ACX60_07895	-
1681998	ACX60_07905	-
1682132	ACX60_07910	+
1697520	ACX60_07980	-
1699661	ACX60_08005	+
1704993	sRNA38	+
1705213	sRNA39	+
1708742	ACX60_08040	-
1709706	ACX60_08050	+
1711806	ACX60_08055	-
1713998	ACX60_08060	-
1714426	sRNA40	+
1715541	ACX60_08070	-
1715912	sRNA41	+
1721733	ACX60_08085	-
1723641	ACX60_08100	-
1725785	ACX60_08110	-
1727885	ACX60_08120	-
1728084	ACX60_08125	+
1728905	ACX60_08130	-
1729015	ACX60_08135	+
1731890	ACX60_08150	-
1732480	ACX60_08160	+
1732896	ACX60_08165	+
1735005	ACX60_08175	+
1742035	ACX60_08220	-
1742194	ACX60_08225	+
1744565	ACX60_08230	+
1750780	ACX60_08245	-
1755578	ACX60_08270	+
1756707	ACX60_08275	+
1763606	ACX60_08305	-
1769727	ACX60_08335	-
1769886	ACX60_08340	+
1775053	ACX60_08360	+
1791216	sRNA44	+
1791389	ACX60_08435	+
1803163	ACX60_08495	-
1822599	ACX60_08575	-
1827906	ACX60_08610	+
1829544	ACX60_08615	-
1836567	ACX60_08640	-
1845025	ACX60_08685	-
1846343	ACX60_08690	-
1846951	ACX60_08695	-
1857774	ACX60_08745	-
1863527	ACX60_08795	+
1870253	ACX60_08825	-
1883367	ACX60_08885	+
1887676	ACX60_08900	-
1889318	ACX60_08910	+
1894536	ACX60_08940	+
1897821	ACX60_08955	+
1914570	ACX60_09025	-
1916681	sRNA47	+
1917898	ACX60_09045	+
1922656	ACX60_09070	-
1926584	ACX60_09100	+
1940012	ACX60_09155	+
1955437	ACX60_09230	+
1956567	ACX60_09235	+
1961822	ACX60_09255	-
1962951	ACX60_09260	-
1964463	ACX60_09275	+
1968211	ACX60_09280	-
1968390	ACX60_09285	+
1987912	ACX60_09380	+
1995816	ACX60_09410	-
1996004	ACX60_09415	+
1999260	ACX60_09425	-
2002980	ACX60_09440	-
2007375	ACX60_09465	-
2008230	ACX60_09475	-
2008636	ACX60_09480	-
2010274	ACX60_09485	-
2011615	ACX60_09495	-
2013455	ACX60_09510	+
2016391	ACX60_09525	-
2017093	ACX60_09530	-
2017674	ACX60_09535	-
2029161	ACX60_09595	-
2033813	ACX60_09620	+
2034804	ACX60_09625	+
2036784	ACX60_09630	-
2038458	ACX60_09635	-
2041379	ACX60_09655	-
2044567	ACX60_09665	-
2049267	ACX60_09685	-
2059271	ACX60_09720	-
2060005	ACX60_09725	-
2060657	ACX60_09735	+
2069667	ACX60_09765	-
2070264	ACX60_09770	-
2070368	ACX60_09775	+
2071173	ACX60_09780	+
2072930	ACX60_09790	+
2078587	ACX60_09820	-
2083759	ACX60_09835	-
2085988	ACX60_09855	+
2088178	ACX60_09865	-
2088330	ACX60_09870	+
2108098	ACX60_09940	-
2120922	ACX60_10000	-
2131956	ACX60_10095	-
2133633	ACX60_10105	-
2145714	ACX60_10205	-
2147385	ACX60_10215	+
2149028	ACX60_10220	-
2149907	ACX60_10230	-
2156033	ACX60_10265	-
2175404	ACX60_10370	-
2175778	ACX60_10375	-
2177090	ACX60_10380	-
2177178	ACX60_10385	+
2179641	ACX60_10400	+
2180303	sRNA53	+
2180417	sRNA54	-
2180726	ACX60_10405	+
2181439	ACX60_10410	+
2189246	ACX60_10450	+
2195870	ACX60_10470	+
2197207	ACX60_10475	+
2198387	ACX60_10485	+
2202381	ACX60_10500	-
2202818	ACX60_10505	+
2204621	ACX60_10515	+
2205656	ACX60_10520	-
2207906	ACX60_10535	-
2211308	ACX60_10555	+
2213377	ACX60_10570	+
2218587	sRNA56	-
2218826	ACX60_10590	+
2225203	sRNA57	-
2226637	ACX60_10625	-
2226731	ACX60_10630	+
2227999	ACX60_10635	-
2228905	ACX60_10645	+
2229601	ACX60_10650	+
2230912	ACX60_10655	-
2236044	ACX60_10680	-
2237222	ACX60_10685	-
2244871	ACX60_10725	+
2249635	ACX60_10760	+
2257870	ACX60_10795	-
2258045	ACX60_10800	+
2261789	ACX60_10810	+
2263214	ACX60_10815	+
2268530	ACX60_10830	+
2269598	ACX60_10835	+
2273285	ACX60_10840	-
2280810	ACX60_10885	-
2280936	ACX60_10890	+
2282675	ACX60_10895	-
2288911	ACX60_10925	-
2300876	ACX60_10975	+
2317406	ACX60_11070	+
2332064	ACX60_11140	-
2339502	ACX60_11165	-
2340934	ACX60_11175	-
2341007	ACX60_11180	+
2342774	ACX60_11185	-
2348323	ACX60_11205	-
2349328	ACX60_11215	+
2351732	sRNA61	+
2359512	ACX60_11270	-
2367383	ACX60_11300	-
2371970	ACX60_11310	-
2372424	ACX60_11315	+
2381456	ACX60_11350	-
2391819	sRNA62	-
2392205	ACX60_11400	+
2406567	ACX60_11475	-
2410390	ACX60_11485	-
2410746	ACX60_11490	+
2416373	ACX60_11505	-
2420953	ACX60_11530	-
2423473	sRNA64	+
2423778	sRNA65	-
2424408	ACX60_11545	-
2425515	ACX60_11555	-
2426804	ACX60_11565	+
2431156	ACX60_11590	+
2454491	ACX60_11685	+
2470147	ACX60_18995	-
2477974	ACX60_11770	+
2479336	sRNA66	+
2479564	sRNA67	-
2479885	sRNA68	-
2482826	ACX60_11785	-
2489309	ACX60_11810	-
2490464	ACX60_11815	-
2491093	ACX60_11820	-
2491332	ACX60_11825	+
2495109	sRNA69	-
2501813	sRNA70	-
2503319	ACX60_11880	-
2504456	ACX60_11885	-
2506128	ACX60_11890	-
2507299	ACX60_11895	-
2507988	ACX60_11905	+
2511689	ACX60_11915	+
2513018	ACX60_11925	+
2516052	ACX60_11940	-
2521015	ACX60_11955	-
2523043	ACX60_11970	-
2524756	ACX60_11985	+
2526267	ACX60_11990	+
2534002	sRNA72	+
2535653	ACX60_12045	-
2536518	ACX60_12055	+
2538754	ACX60_12075	+
2540088	ACX60_12085	-
2540315	ACX60_12090	+
2541891	sRNA74	-
2543844	sRNA75	-
2544687	sRNA76	-
2544991	sRNA77	-
2548599	ACX60_12140	+
2559573	ACX60_12185	-
2563466	ACX60_12190	-
2565896	ACX60_12215	+
2567630	ACX60_12220	+
2571457	ACX60_12235	+
2572334	ACX60_12240	+
2575360	ACX60_12250	-
2577797	ACX60_12260	-
2578440	ACX60_12270	+
2581155	ACX60_12275	-
2584632	ACX60_12285	-
2587819	ACX60_12310	+
2590212	ACX60_12320	-
2592926	ACX60_12330	-
2594316	ACX60_12340	+
2600296	ACX60_12355	-
2602371	ACX60_12370	+
2602942	ACX60_12375	+
2615849	ACX60_12425	-
2639839	ACX60_12645	+
2642858	ACX60_12660	-
2646675	ACX60_12680	-
2652398	ACX60_12705	-
2658338	ACX60_12730	-
2672444	ACX60_12795	+
2682061	ACX60_12830	-
2686435	ACX60_12850	+
2693815	ACX60_12875	-
2699421	ACX60_12905	+
2700146	ACX60_12910	+
2707075	ACX60_12940	+
2708691	ACX60_12945	+
2709407	ACX60_12950	+
2711044	sRNA81	-
2711772	ACX60_12960	-
2712984	ACX60_12965	-
2715231	ACX60_12970	-
2733536	ACX60_13015	-
2734187	sRNA82	+
2735009	sRNA83	-
2735911	ACX60_13030	-
2741496	ACX60_13050	-
2741597	ACX60_13055	+
2743312	ACX60_13065	+
2747073	ACX60_13075	-
2755969	ACX60_13100	-
2762279	ACX60_13135	+
2772408	sRNA84	+
2773263	ACX60_13200	-
2781158	ACX60_13220	-
2781819	ACX60_13225	+
2784561	ACX60_13230	+
2786094	ACX60_13240	+
2788938	ACX60_13250	+
2793369	ACX60_13270	-
2793518	ACX60_13275	+
2802529	ACX60_13330	+
2803047	ACX60_13335	+
2805317	ACX60_13340	-
2805784	ACX60_13345	+
2806902	ACX60_13350	+
2808752	ACX60_13355	+
2810729	ACX60_13360	-
2810902	ACX60_13365	+
2814233	ACX60_13375	-
2817650	ACX60_13385	-
2819207	ACX60_13400	+
2825685	ACX60_13425	-
2831780	ACX60_13455	-
2831953	ACX60_13460	+
2837211	ACX60_13475	-
2841589	ACX60_13500	+
2846372	ACX60_13510	-
2854709	ACX60_13540	+
2862606	ACX60_13570	-
2863371	ACX60_13580	+
2878449	ACX60_13655	+
2880271	ACX60_13665	-
2886374	ACX60_13695	-
2889123	ACX60_13705	-
2889240	ACX60_13710	+
2890181	ACX60_13715	-
2895044	ACX60_13735	+
2899315	ACX60_13750	+
2901858	ACX60_13760	+
2906104	ACX60_13770	-
2907008	ACX60_13775	-
2907171	ACX60_13780	+
2908472	ACX60_13785	-
2908542	ACX60_13790	+
2909615	ACX60_13795	+
2912709	sRNA88	+
2913639	ACX60_13810	+
2917318	sRNA89	-
2919560	ACX60_13830	-
2922477	ACX60_13840	-
2926907	ACX60_13865	-
2926981	sRNA90	+
2928326	ACX60_13880	+
2933342	sRNA91	-
2939524	ACX60_13925	-
2940622	ACX60_13930	-
2944048	ACX60_13945	-
2946684	ACX60_13955	-
2947560	ACX60_13960	-
2947715	ACX60_13965	+
2949806	ACX60_13975	+
2952813	ACX60_13995	-
2956102	ACX60_14005	+
2959391	ACX60_14020	-
2966330	ACX60_14050	-
2967874	ACX60_14055	-
2967995	ACX60_14060	+
2970913	ACX60_14075	+
2971740	ACX60_14080	+
2974638	ACX60_14090	-
2984789	ACX60_14135	-
2985201	ACX60_19000	-
2986007	ACX60_14145	-
2990558	ACX60_14175	+
2997073	ACX60_14205	+
2997335	ACX60_14215	+
2999452	ACX60_14235	+
3002484	ACX60_14250	+
3005553	ACX60_14265	-
3009530	ACX60_14300	+
3010318	ACX60_14305	+
3016683	ACX60_14335	-
3017801	ACX60_14345	+
3022139	ACX60_14360	-
3024469	ACX60_14365	-
3034751	ACX60_14410	+
3042270	ACX60_14430	-
3044594	ACX60_14440	-
3045482	ACX60_14445	-
3045531	ACX60_14450	+
3048506	ACX60_14460	-
3049158	ACX60_14465	-
3049372	ACX60_14470	+
3052724	ACX60_14485	+
3057155	ACX60_14505	+
3058633	ACX60_14510	-
3061094	ACX60_14525	+
3065023	ACX60_14550	-
3080425	ACX60_14620	+
3088502	ACX60_14650	+
3090599	ACX60_14655	+
3104501	sRNA92	-
3104996	sRNA93	-
3105714	ACX60_14695	-
3107974	ACX60_14705	-
3111260	ACX60_14725	+
3115378	ACX60_14740	+
3131148	ACX60_14815	-
3132440	ACX60_14820	-
3133769	ACX60_14825	-
3134710	ACX60_14835	-
3138948	ACX60_14855	-
3139863	ACX60_14860	-
3140914	ACX60_14865	-
3141019	ACX60_14870	+
3143680	ACX60_14880	-
3145244	ACX60_14890	-
3146614	ACX60_14905	+
3154357	ACX60_14930	-
3155533	ACX60_14935	-
3159603	ACX60_14950	-
3161911	ACX60_14965	-
3162495	ACX60_14970	-
3164159	ACX60_14975	-
3169913	ACX60_15000	-
3170045	ACX60_15005	+
3171103	ACX60_15010	+
3172180	ACX60_15015	+
3174103	ACX60_15030	+
3181404	ACX60_15060	+
3190060	ACX60_15095	+
3191853	ACX60_15100	+
3196118	ACX60_15115	-
3196214	ACX60_15120	+
3199082	ACX60_15140	-
3204449	ACX60_15165	-
3219522	ACX60_15240	-
3222551	ACX60_15250	+
3229662	ACX60_15285	-
3229774	ACX60_15290	+
3232539	ACX60_15305	+
3233656	ACX60_15310	+
3236401	ACX60_15320	-
3241380	ACX60_15335	-
3243995	ACX60_15345	-
3250830	ACX60_15365	-
3253976	sRNA94	-
3256289	ACX60_15385	-
3260052	ACX60_15400	-
3260258	ACX60_15405	+
3260764	ACX60_15410	+
3265022	ACX60_15425	+
3271609	ACX60_15445	-
3273537	ACX60_15460	+
3292185	ACX60_15570	-
3293890	ACX60_15575	-
3301130	ACX60_15610	-
3301950	ACX60_15620	-
3306370	ACX60_15640	+
3310066	ACX60_15650	-
3310234	ACX60_15655	+
3318092	ACX60_15680	-
3318685	ACX60_15685	+
3322357	ACX60_15695	+
3329096	ACX60_15720	-
3329437	ACX60_15725	+
3334742	ACX60_15740	+
3337254	ACX60_15755	+
3339004	ACX60_15760	-
3347346	ACX60_15800	+
3348157	ACX60_15810	+
3353278	ACX60_15840	-
3354489	ACX60_15845	-
3356871	ACX60_15860	+
3357437	ACX60_15870	+
3360179	ACX60_15880	-
3362745	ACX60_15895	-
3363454	ACX60_15900	-
3371510	ACX60_15940	+
3372255	ACX60_15945	+
3376117	ACX60_15955	-
3376544	sRNA97	-
3377899	ACX60_15965	+
3379165	ACX60_15970	+
3384839	ACX60_15990	-
3384998	ACX60_15995	+
3390411	ACX60_16030	+
3390753	ACX60_16035	+
3393041	ACX60_16050	+
3399298	ACX60_16060	-
3404946	ACX60_16095	+
3405060	ACX60_16090	-
3408954	ACX60_16100	+
3411018	ACX60_16105	+
3419092	ACX60_16150	+
3421013	ACX60_16160	+
3422926	ACX60_16170	-
3428869	ACX60_16205	-
3432287	ACX60_16225	-
3432416	ACX60_16230	+
3442082	ACX60_16270	+
3443190	ACX60_16275	+
3449521	ACX60_16300	-
3463020	ACX60_16330	-
3463156	ACX60_16335	+
3464009	ACX60_16340	+
3468841	ACX60_16360	+
3472744	ACX60_16375	+
3484660	ACX60_16425	-
3484783	ACX60_16430	-
3485999	ACX60_16440	-
3491635	ACX60_16465	-
3492861	ACX60_16475	-
3500772	ACX60_16510	-
3500867	ACX60_16515	+
3501855	sRNA101	+
3504216	ACX60_16530	-
3507002	ACX60_16540	-
3507679	ACX60_16545	-
3508803	ACX60_16550	-
3509210	ACX60_16555	+
3516455	ACX60_16575	+
3517962	ACX60_16585	+
3520125	sRNA102	+
3527535	ACX60_16625	-
3530096	ACX60_16645	-
3544386	ACX60_16715	-
3547444	ACX60_16730	-
3551405	ACX60_16745	-
3552077	ACX60_16750	-
3556424	ACX60_16775	-
3560294	sRNA103	+
3561213	ACX60_16800	-
3564216	ACX60_16815	-
3565420	ACX60_16825	+
3569223	ACX60_16840	+
3573417	ACX60_16855	-
3577106	ACX60_16880	+
3578167	ACX60_16885	+
3582021	ACX60_16900	+
3588508	ACX60_16920	-
3590803	ACX60_16930	-
3590882	ACX60_16935	+
3597426	ACX60_16970	-
3599448	ACX60_16980	-
3600840	ACX60_16995	+
3602782	ACX60_17000	+
3607627	ACX60_17020	-
3612243	ACX60_17040	+
3619479	ACX60_17075	+
3624441	ACX60_17095	-
3626738	ACX60_17100	-
3628926	ACX60_17110	-
3631230	ACX60_17120	-
3632096	ACX60_17130	+
3635802	ACX60_17145	+
3639572	ACX60_17155	-
3642794	sRNA104	+
3651267	ACX60_17215	-
3659217	ACX60_17260	+
3659945	sRNA105	-
3661149	ACX60_17265	-
3661901	ACX60_17270	-
3664105	ACX60_17285	+
3664806	ACX60_17290	+
3666000	ACX60_17295	-
3673335	ACX60_17340	-
3677134	ACX60_17365	-
3680003	ACX60_17375	-
3680403	ACX60_17380	+
3683808	ACX60_17390	-
3686442	ACX60_17410	-
