TSS coordinate	Locus tag	Strand	TSS cluster ID	is_inside_ORF	Distance to ORF
417163	ACX60_RS01970	+	88	No	264
419352	ACX60_RS01975	+	89	No	29
419651	ACX60_RS01980	+	90	No	27
421716	ACX60_RS01995	+	91	Yes	260
423811	ACX60_RS02010	+	92	No	346
423995	ACX60_RS02010	+	93	No	162
424652	ACX60_RS02015	+	94	Yes	101
432574	ACX60_RS02045	+	95	No	51
433601	ACX60_RS02050	+	96	No	3
442075	rpsJ	+	97	No	158
443501	ACX60_RS02105	+	98	Yes	350
446593	ACX60_RS02135	+	99	Yes	215
447309	ACX60_RS02145	+	100	No	43
447419	rplX	+	101	Yes	311
447431	rplX	+	102	Yes	299
452391	ACX60_RS02200	+	103	Yes	355
452915	ACX60_RS02205	+	104	No	55
455946	ACX60_RS02230	+	105	No	28
458850	ACX60_RS02240	+	106	No	24
459707	ACX60_RS02250	+	107	No	590
470113	ACX60_RS02285	+	108	No	6
470572	ACX60_RS02310	+	109	Yes	3559
475220	ACX60_RS02320	+	110	No	25
478089	ACX60_RS02345	+	111	Yes	1781
478125	ACX60_RS02345	+	112	Yes	1745
484443	ACX60_RS02385	+	113	No	2820
487192	ACX60_RS02385	+	114	No	71
490070	ACX60_RS02395	+	115	No	68
492877	ACX60_RS02415	+	116	No	22
516934	ACX60_RS02535	+	117	Yes	177
538291	ACX60_RS02640	+	118	Yes	22
538529	ACX60_RS02645	+	119	Yes	223
544282	ACX60_RS02675	+	120	No	24
549938	ACX60_RS02710	+	121	No	942
558910	ACX60_RS02765	+	122	Yes	2743
565053	ACX60_RS02785	+	123	Yes	497
582628	ACX60_RS02850	+	124	No	44
589041	ACX60_RS02890	+	125	No	24
598086	ACX60_RS02930	+	126	No	16
600890	ACX60_RS02945	+	127	No	209
611914	ACX60_RS02985	+	128	Yes	434
612048	ACX60_RS02985	+	129	Yes	300
613298	ACX60_RS02990	+	130	No	44
619596	ACX60_RS03025	+	131	No	149
627045	ACX60_RS03055	+	132	No	18
646677	ACX60_RS03145	+	133	Yes	290
650120	ACX60_RS03160	+	134	No	141
650202	ACX60_RS03160	+	135	No	59
650308	ACX60_RS03165	+	136	Yes	753
652950	ACX60_RS03175	+	137	Yes	281
656847	secA	+	138	No	215
657014	secA	+	139	No	48
671590	ACX60_RS03255	+	140	No	24
672621	ACX60_RS03260	+	141	Yes	420
675585	ACX60_RS03265	+	142	No	28
680718	ACX60_RS03295	+	143	No	246
680812	ACX60_RS03295	+	144	No	152
680866	ACX60_RS03295	+	145	No	98
687872	ACX60_RS03325	+	146	No	25
689899	mscL	+	147	No	89
694035	ACX60_RS03360	+	148	Yes	1014
721341	ACX60_RS03480	+	149	No	19
734623	ACX60_RS03555	+	150	No	90
746524	ACX60_RS03605	+	151	No	34
751145	ACX60_RS03630	+	152	No	61
760720	ACX60_RS03675	+	153	No	153
766635	ACX60_RS03705	+	154	No	131
766704	ACX60_RS03705	+	155	No	62
768060	ACX60_RS03710	+	156	No	53
774253	ACX60_RS03745	+	157	No	250
774266	ACX60_RS03745	+	158	No	237
774285	ACX60_RS03745	+	159	No	218
775264	ACX60_RS03750	+	160	Yes	727
775298	ACX60_RS03750	+	161	Yes	693
775491	ACX60_RS03750	+	162	Yes	500
783500	ACX60_RS03785	+	163	Yes	566
789467	ACX60_RS03805	+	164	Yes	173
801979	rplU	+	165	No	80
802814	ACX60_RS03870	+	166	No	73
804591	ACX60_RS03880	+	167	No	26
816985	ACX60_RS03955	+	168	Yes	2215
819100	ACX60_RS03955	+	169	No	100
821872	ACX60_RS03965	+	170	No	105
822379	ACX60_RS03975	+	171	Yes	368
831030	sucC	+	172	Yes	528
835244	ACX60_RS04015	+	173	No	22
837250	ACX60_RS04025	+	174	No	106
839202	ACX60_RS04030	+	175	No	3242
847757	ACX60_RS04035	+	176	Yes	1060
847868	ACX60_RS04035	+	177	Yes	949
855189	ACX60_RS04070	+	178	No	20
860741	ACX60_RS04090	+	179	No	397
862808	ACX60_RS04105	+	180	No	50
862830	ACX60_RS04105	+	181	No	28
863264	ACX60_RS04110	+	182	Yes	379
863550	ACX60_RS04110	+	183	No	93
865649	folP	+	184	No	21
866631	ACX60_RS04120	+	185	No	25
869830	ACX60_RS04150	+	186	No	30
875521	ACX60_RS04175	+	187	No	27
880054	ACX60_RS04190	+	188	Yes	196
881119	ACX60_RS04195	+	189	No	75
883766	ACX60_RS04210	+	190	No	67
889388	ACX60_RS04225	+	191	No	25
889609	ACX60_RS04240	+	192	Yes	2960
893605	ACX60_RS04245	+	193	No	76
903430	ACX60_RS04320	+	194	Yes	4549
913858	ACX60_RS04355	+	195	No	146
920462	ACX60_RS04390	+	196	No	2475
922774	ACX60_RS04390	+	197	No	163
928958	ACX60_RS04420	+	198	No	71
930994	ACX60_RS04430	+	199	No	100
943118	ACX60_RS04475	+	200	No	36
957730	ACX60_RS04540	+	201	Yes	46
962694	ACX60_RS04580	+	202	Yes	3953
976888	ACX60_RS04635	+	203	No	59
1013092	ACX60_RS04775	+	204	No	4235
1015005	ACX60_RS04775	+	205	No	2322
1034421	ACX60_RS04875	+	206	No	70
1034433	ACX60_RS04875	+	207	No	58
1034445	ACX60_RS04875	+	208	No	46
1041677	ACX60_RS04915	+	209	Yes	221
1046023	ACX60_RS04935	+	210	No	37
1047457	ACX60_RS04940	+	211	No	100
1056140	ACX60_RS04995	+	212	No	55
1070233	ACX60_RS05060	+	213	No	32
1071382	ACX60_RS05065	+	214	No	44
1074644	ACX60_RS05080	+	215	No	26
1078960	ACX60_RS05100	+	216	No	21
1097199	ACX60_RS05175	+	217	No	273
1097392	ACX60_RS05175	+	218	No	80
1100735	ACX60_RS05185	+	219	No	81
1104675	ACX60_RS05205	+	220	No	24
1105742	ACX60_RS05210	+	221	No	36
1117183	ACX60_RS05260	+	222	No	30
1117956	ACX60_RS05265	+	223	No	40
1122882	ACX60_RS05280	+	224	No	26
1127918	ACX60_RS05305	+	225	No	113
1131111	ACX60_RS05315	+	226	No	105
1136957	ACX60_RS05335	+	227	No	78
1136968	ACX60_RS05335	+	228	No	67
1154856	ACX60_RS05420	+	229	No	61
1155069	ACX60_RS05430	+	230	Yes	3620
1160761	ACX60_RS05435	+	231	Yes	120
1161359	ACX60_RS05440	+	232	No	63
1162426	rpmE	+	233	No	155
1167650	ACX60_RS05465	+	234	No	174
1167759	ACX60_RS05465	+	235	No	65
1168423	ACX60_RS05470	+	236	No	137
1168464	ACX60_RS05470	+	237	No	96
1168498	ACX60_RS05470	+	238	No	62
1196288	ACX60_RS05585	+	239	No	62
1225119	ACX60_RS05690	+	240	No	23
1249864	glnA	+	241	No	290
1249960	glnA	+	242	No	194
1250007	glnA	+	243	No	147
1251669	ACX60_RS05780	+	244	No	20
1253140	ACX60_RS05790	+	245	No	44
1257684	ACX60_RS05830	+	246	No	63
1265524	ACX60_RS05865	+	247	No	3522
1273924	ACX60_RS05885	+	248	No	143
1274044	ACX60_RS05885	+	249	No	23
1281072	ACX60_RS05915	+	250	No	159
1296478	glyA	+	251	No	44
1325022	ppnK	+	252	No	24
1325707	ACX60_RS06135	+	253	Yes	244
1327643	ACX60_RS06145	+	254	No	294
1327676	ACX60_RS06145	+	255	No	261
1327765	ACX60_RS06145	+	256	No	172
1349509	ACX60_RS06255	+	257	No	34
1355216	ACX60_RS06290	+	258	No	26
1356553	ACX60_RS06300	+	259	Yes	313
1364571	ACX60_RS06335	+	260	No	32
1370286	ACX60_RS06360	+	261	No	2
1385348	ACX60_RS06455	+	262	No	23
1425974	gidA	+	263	No	27
1428032	ACX60_RS06670	+	264	No	1470
1432211	ACX60_RS06685	+	265	Yes	259
1432291	ACX60_RS06685	+	266	Yes	179
1432311	ACX60_RS06685	+	267	Yes	159
1458253	prfA	+	268	No	72
1465995	ACX60_RS06840	+	269	No	23
1473539	ACX60_RS06875	+	270	Yes	77
1478795	ACX60_RS06890	+	271	No	113
1481543	ACX60_RS06905	+	272	No	88
1489007	ACX60_RS06915	+	273	No	19
1492460	ACX60_RS06925	+	274	No	54
1495465	ACX60_RS06940	+	275	No	59
1499103	ACX60_RS06965	+	276	No	23
1504862	ACX60_RS07000	+	277	Yes	413
1505016	ACX60_RS07000	+	278	Yes	259
1505196	ACX60_RS07000	+	279	No	79
1517664	ACX60_RS07060	+	280	No	132
1521527	ACX60_RS07075	+	281	No	23
1523238	ACX60_RS07080	+	282	Yes	68
1567322	fabG	+	283	No	141
1581483	ACX60_RS07335	+	284	No	117
1583113	ACX60_RS07345	+	285	Yes	49
1590575	ACX60_RS07375	+	286	Yes	832
1625410	ACX60_RS07635	+	287	No	21
1643378	ACX60_RS07755	+	288	Yes	6718
1647783	ACX60_RS07755	+	289	No	2313
1664788	ACX60_RS07810	+	290	No	96
1668800	ACX60_RS07845	+	291	No	419
1670377	ACX60_RS07865	+	292	Yes	2743
1673026	ACX60_RS07865	+	293	No	94
1675978	ispF	+	294	No	83
1681777	rimO	+	295	No	375
1681969	rimO	+	296	No	183
1682132	rimO	+	297	No	20
1685452	ACX60_RS07930	+	298	Yes	221
1693176	ACX60_RS07960	+	299	Yes	50
1693601	ACX60_RS07965	+	300	Yes	107
1728084	ACX60_RS08125	+	301	No	22
1729015	ACX60_RS08135	+	302	No	30
1732480	ACX60_RS08160	+	303	No	13
1732895	ACX60_RS08165	+	304	No	32
1733918	ACX60_RS08170	+	305	Yes	303
1734140	ACX60_RS08170	+	306	No	81
1734174	ACX60_RS08170	+	307	No	47
1753013	ACX60_RS08260	+	308	Yes	207
1756707	ACX60_RS08275	+	309	No	30
1769815	pyrG	+	310	No	109
1769884	pyrG	+	311	No	40
1775086	ACX60_RS08360	+	312	No	101
1791389	ACX60_RS08435	+	313	No	22
1796673	ACX60_RS08470	+	314	Yes	264
1836579	ACX60_RS08645	+	315	No	105
1858573	ACX60_RS08755	+	316	No	56
1868486	ACX60_RS08820	+	317	No	24
1902902	ACX60_RS08985	+	318	Yes	1708
1917898	ACX60_RS09045	+	319	No	36
1955437	ACX60_RS09230	+	320	No	28
1964463	aspA	+	321	No	24
1968576	ACX60_RS09285	+	322	No	112
2017789	ACX60_RS09540	+	323	No	98
2017858	ACX60_RS09540	+	324	No	29
2021099	ACX60_RS09565	+	325	No	150
2030731	ACX60_RS09605	+	326	Yes	849
2033813	ACX60_RS09620	+	327	No	23
2071173	ACX60_RS09780	+	328	No	26
2072930	ACX60_RS09790	+	329	No	28
2073364	iscA	+	330	No	11
2085988	ACX60_RS09855	+	331	No	84
2138038	ACX60_RS10145	+	332	No	58
2138874	ACX60_RS10150	+	333	No	109
2172654	ACX60_RS10365	+	334	Yes	265
2179641	ACX60_RS10400	+	335	No	67
2181439	ACX60_RS10410	+	336	No	41
2185979	ACX60_RS10430	+	337	Yes	151
2186491	ACX60_RS10435	+	338	Yes	188
2189245	ACX60_RS10450	+	339	No	80
2189298	ACX60_RS10450	+	340	No	27
2191408	putA	+	341	No	54
2195869	ACX60_RS10470	+	342	No	28
2202817	ACX60_RS10505	+	343	No	30
2210119	ACX60_RS10550	+	344	No	32
2213377	ACX60_RS10570	+	345	No	69
2229601	ACX60_RS10650	+	346	No	34
2248474	ACX60_RS10750	+	347	No	40
2253958	ACX60_RS10775	+	348	Yes	194
2259813	ACX60_RS10805	+	349	No	149
2263216	ACX60_RS10815	+	350	No	20
2268530	ACX60_RS10830	+	351	No	35
2310291	ACX60_RS11030	+	352	No	105
2351732	ACX60_RS11240	+	353	No	570
2367426	ACX60_RS11305	+	354	No	139
2426803	ACX60_RS11565	+	355	No	69
2507988	ACX60_RS11905	+	356	No	153
2511689	ACX60_RS11915	+	357	No	37
2513018	ACX60_RS11925	+	358	No	23
2524756	ACX60_RS11985	+	359	No	28
2567630	ACX60_RS12220	+	360	No	40
2571456	ACX60_RS12235	+	361	No	25
2572333	ACX60_RS12240	+	362	No	36
2586592	ACX60_RS12305	+	363	No	404
2586811	ACX60_RS12305	+	364	No	185
2594316	ACX60_RS12340	+	365	No	114
2597279	ACX60_RS12345	+	366	No	74
2634881	ACX60_RS12600	+	367	Yes	928
2639839	ACX60_RS12645	+	368	No	119
2641352	ACX60_RS12650	+	369	No	133
2641416	ACX60_RS12650	+	370	No	69
2658399	ACX60_RS12735	+	371	No	50
2699421	ACX60_RS12905	+	372	No	22
2707075	ACX60_RS12940	+	373	No	88
2708717	ACX60_RS12945	+	374	No	125
2723522	ACX60_RS13040	+	375	No	14667
2756103	ACX60_RS13105	+	376	No	37
2772408	ACX60_RS13210	+	377	No	1513
2781819	ACX60_RS13225	+	378	No	33
2784561	ACX60_RS13230	+	379	No	22
2786095	ACX60_RS13240	+	380	No	26
2788938	ACX60_RS13250	+	381	No	23
2793518	ACX60_RS13275	+	382	No	35
2799258	ACX60_RS13330	+	383	No	3295
2802529	ACX60_RS13330	+	384	No	24
2803047	ACX60_RS13335	+	385	No	33
2805784	ACX60_RS13345	+	386	No	31
2806902	ACX60_RS13350	+	387	No	26
2808753	ACX60_RS13355	+	388	No	54
2810902	ACX60_RS13365	+	389	No	24
2819168	ACX60_RS13400	+	390	No	152
2819207	ACX60_RS13400	+	391	No	113
2821541	ACX60_RS13415	+	392	Yes	223
2831953	ACX60_RS13460	+	393	No	82
2841606	ACX60_RS13500	+	394	No	20
2841982	ACX60_RS13515	+	395	Yes	4826
2842094	ACX60_RS13515	+	396	Yes	4714
2863371	ACX60_RS13580	+	397	No	24
2883688	ACX60_RS13700	+	398	No	2842
2889241	ACX60_RS13710	+	399	No	86
2895044	ACX60_RS13735	+	400	No	69
2899315	ACX60_RS13750	+	401	No	152
2907171	ACX60_RS13780	+	402	No	78
2913639	ACX60_RS13810	+	403	No	28
2926981	ACX60_RS13870	+	404	No	276
2936995	ACX60_RS13910	+	405	No	42
2950273	ACX60_RS13980	+	406	Yes	381
2950407	ACX60_RS13980	+	407	Yes	247
2967995	ACX60_RS14060	+	408	No	100
2971652	ACX60_RS14080	+	409	No	210
2971740	ACX60_RS14080	+	410	No	122
2986100	smpB	+	411	No	18
2989142	ACX60_RS14170	+	412	No	138
2989244	ACX60_RS14170	+	413	No	36
2996111	ACX60_RS14195	+	414	Yes	30
2996722	ACX60_RS14200	+	415	Yes	251
2998407	ACX60_RS14225	+	416	No	91
2999452	ACX60_RS14235	+	417	No	76
3002484	ACX60_RS14250	+	418	No	239
3009443	ACX60_RS14300	+	419	Yes	114
3009530	ACX60_RS14300	+	420	No	27
3010318	ACX60_RS14305	+	421	No	85
3011543	ACX60_RS14315	+	422	Yes	286
3011594	ACX60_RS14315	+	423	Yes	235
3034592	ACX60_RS14410	+	424	Yes	186
3040496	ACX60_RS14450	+	425	No	5129
3049372	metG	+	426	No	29
3053099	ACX60_RS14490	+	427	Yes	213
3085204	ACX60_RS14640	+	428	No	188
3088502	ACX60_RS14650	+	429	No	52
3115378	ACX60_RS14740	+	430	No	64
3146614	ACX60_RS14905	+	431	No	21
3170045	ACX60_RS15005	+	432	No	73
3170070	ACX60_RS15005	+	433	No	48
3171102	ACX60_RS15010	+	434	No	31
3172180	ACX60_RS15015	+	435	No	24
3174103	ACX60_RS15030	+	436	No	25
3174626	ACX60_RS15035	+	437	No	27
3176679	ACX60_RS15045	+	438	No	47
3189562	ACX60_RS15090	+	439	No	74
3189584	ACX60_RS15090	+	440	No	52
3190062	rho	+	441	No	222
3191853	ACX60_RS15100	+	442	No	114
3196214	ACX60_RS15120	+	443	No	21
3225108	ACX60_RS15265	+	444	No	27
3233657	ACX60_RS15310	+	445	No	255
3233851	ACX60_RS15310	+	446	No	61
3250724	ACX60_RS15375	+	447	No	1442
3263295	ACX60_RS15415	+	448	Yes	158
3272395	ACX60_RS15455	+	449	No	27
3273537	ACX60_RS15460	+	450	No	41
3273548	ACX60_RS15460	+	451	No	30
3310234	ACX60_RS15655	+	452	No	23
3322217	ACX60_RS15695	+	453	No	173
3322357	ACX60_RS15695	+	454	No	33
3323419	ACX60_RS15700	+	455	Yes	639
3331809	ACX60_RS15730	+	456	No	48
3335925	ACX60_RS15745	+	457	Yes	14
3336124	ACX60_RS15750	+	458	Yes	405
3348157	ACX60_RS15810	+	459	No	65
3349529	ACX60_RS15820	+	460	Yes	104
3350694	ACX60_RS15825	+	461	No	95
3350770	ACX60_RS15825	+	462	No	19
3356870	rpmB	+	463	No	76
3357437	ACX60_RS15870	+	464	No	61
3369418	ACX60_RS15935	+	465	No	59
3372899	ACX60_RS15950	+	466	Yes	587
3382875	ACX60_RS15985	+	467	Yes	56
3384997	ACX60_RS15995	+	468	No	26
3395677	ACX60_RS16055	+	469	No	204
3399861	ACX60_RS16065	+	470	No	32
3404946	ACX60_RS16095	+	471	No	597
3411018	ACX60_RS16105	+	472	No	124
3414758	ACX60_RS16135	+	473	Yes	203
3429236	ACX60_RS16215	+	474	No	448
3437827	ACX60_RS16260	+	475	No	72
3442082	ACX60_RS16270	+	476	No	129
3442194	ACX60_RS16270	+	477	No	17
3460930	ACX60_RS16325	+	478	No	107
3463913	ACX60_RS16340	+	479	No	135
3464009	ACX60_RS16340	+	480	No	39
3468841	ACX60_RS16360	+	481	No	58
3472744	ACX60_RS16375	+	482	No	161
3489061	ACX60_RS16455	+	483	Yes	173
3489954	ACX60_RS16460	+	484	Yes	142
3494115	ACX60_RS16485	+	485	No	206
3496066	ACX60_RS16490	+	486	No	49
3509221	fadB	+	487	No	77
3520125	ACX60_RS16600	+	488	No	249
3520352	ACX60_RS16600	+	489	No	22
3528578	ACX60_RS16635	+	490	No	33
3567568	ACX60_RS16830	+	491	No	24
3569149	ACX60_RS16840	+	492	No	97
3569223	ACX60_RS16840	+	493	No	23
3576058	ACX60_RS16875	+	494	No	17
3577107	ACX60_RS16880	+	495	No	35
3578167	ACX60_RS16885	+	496	No	35
3617286	ACX60_RS17075	+	497	Yes	2255
3619478	ACX60_RS17075	+	498	No	63
3635592	ACX60_RS17145	+	499	No	238
3642794	ACX60_RS17180	+	500	No	329
3659172	ACX60_RS17260	+	501	Yes	72
3661215	ACX60_RS17275	+	502	No	803
3663149	ACX60_RS17280	+	503	Yes	105
3664077	ACX60_RS17285	+	504	No	64
3664105	ACX60_RS17285	+	505	No	36
3664806	ACX60_RS17290	+	506	No	26
3680402	argS	+	507	No	29
3689120	ACX60_RS17425	+	508	No	124
3691141	ACX60_RS17435	+	509	No	22
3736961	ACX60_RS17630	+	510	No	32
3757271	ACX60_RS17710	+	511	No	207
3757400	ACX60_RS17710	+	512	No	78
3764671	ACX60_RS17735	+	513	No	30
3775036	ACX60_RS17820	+	514	No	8427
3775683	ACX60_RS17820	+	515	No	7780
3783389	ACX60_RS17820	+	516	No	74
3787337	ACX60_RS17835	+	517	No	58
3787358	ACX60_RS17835	+	518	No	37
3791242	ACX60_RS17855	+	519	No	31
3798371	ACX60_RS17885	+	520	No	21
3813605	ACX60_RS17970	+	521	No	26
3814493	ileS	+	522	Yes	201
3817227	ACX60_RS17980	+	523	Yes	297
3818651	ACX60_RS17990	+	524	No	22
3830490	ACX60_RS18055	+	525	No	105
3831263	dnaK	+	526	No	40
3843339	ACX60_RS18110	+	527	No	24
3845330	ACX60_RS18120	+	528	No	92
3850564	ACX60_RS18150	+	529	No	46
7476	ACX60_RS00030	-	530	No	51
7531	ACX60_RS00030	-	531	No	106
9633	ACX60_RS00035	-	532	No	26
16125	ACX60_RS00065	-	533	No	31
39566	ACX60_RS00155	-	534	No	21
55544	ACX60_RS00235	-	535	Yes	79
57945	ACX60_RS00250	-	536	Yes	349
65173	ACX60_RS00295	-	537	Yes	120
66040	ACX60_RS00300	-	538	No	81
66073	ACX60_RS00300	-	539	No	114
66272	ACX60_RS00300	-	540	No	313
69967	ACX60_RS00320	-	541	No	28
75296	ACX60_RS00345	-	542	No	143
90606	ACX60_RS00365	-	543	No	10305
94964	ACX60_RS00425	-	544	No	70
98417	ACX60_RS00440	-	545	Yes	160
98839	ACX60_RS00440	-	546	Yes	582
99788	glmU	-	547	Yes	154
100230	ACX60_RS00450	-	548	Yes	64
102550	ribH	-	549	Yes	550
104931	ACX60_RS00475	-	550	No	269
107954	ACX60_RS00495	-	551	No	29
116454	ACX60_RS00530	-	552	Yes	143
145283	ACX60_RS00670	-	553	No	25
155256	ACX60_RS00720	-	554	No	394
155863	ACX60_RS00730	-	555	No	26
156153	ACX60_RS00730	-	556	No	316
156197	ACX60_RS00730	-	557	No	360
157325	ACX60_RS00735	-	558	No	208
182331	ACX60_RS00830	-	559	No	2061
188066	ACX60_RS00865	-	560	No	44
206000	ACX60_RS00940	-	561	No	22
212203	ACX60_RS00965	-	562	No	31
234450	ACX60_RS01060	-	563	No	201
235555	ACX60_RS01060	-	564	No	1306
239083	ACX60_RS01085	-	565	No	68
260049	ACX60_RS01210	-	566	Yes	2436
263355	ACX60_RS01240	-	567	No	60
263365	ACX60_RS01240	-	568	No	70
266046	ACX60_RS01255	-	569	No	66
273608	ACX60_RS01310	-	570	No	67
273810	ACX60_RS01310	-	571	No	269
276682	ACX60_RS01335	-	572	No	24
279152	ACX60_RS01345	-	573	No	63
279177	ACX60_RS01345	-	574	No	88
285636	ACX60_RS01360	-	575	No	93
291644	ACX60_RS01390	-	576	No	41
292713	ACX60_RS01395	-	577	No	75
300489	ACX60_RS01425	-	578	No	20
301973	ACX60_RS01440	-	579	No	10
304546	ACX60_RS01450	-	580	No	26
304836	ACX60_RS01460	-	581	No	8
306877	ACX60_RS01470	-	582	No	67
306889	ACX60_RS01470	-	583	No	79
306959	ACX60_RS01470	-	584	No	149
306989	ACX60_RS01470	-	585	No	179
319391	ACX60_RS01520	-	586	No	37
340316	ACX60_RS01605	-	587	No	49
344046	ACX60_RS01625	-	588	No	34
356154	ACX60_RS01630	-	589	Yes	11440
363765	ACX60_RS01730	-	590	No	29
366948	ACX60_RS01745	-	591	Yes	600
374126	ACX60_RS01780	-	592	No	32
405861	ACX60_RS01925	-	593	No	50
412064	ACX60_RS01945	-	594	No	60
413157	ACX60_RS01950	-	595	No	29
413884	ACX60_RS01955	-	596	No	26
436792	ACX60_RS02060	-	597	No	28
465243	ACX60_RS02270	-	598	No	30
469884	ACX60_RS02280	-	599	No	25
473629	ACX60_RS02305	-	600	No	88
481127	ACX60_RS02350	-	601	No	34
485514	ACX60_RS02375	-	602	No	27
487032	ACX60_RS02380	-	603	No	56
504610	ACX60_RS02470	-	604	No	96
515987	ACX60_RS02525	-	605	No	54
519278	ACX60_RS02545	-	606	No	27
521797	ACX60_RS02560	-	607	No	28
524428	ACX60_RS02570	-	608	No	20
526258	ACX60_RS02580	-	609	Yes	206
527827	ACX60_RS02590	-	610	No	28
542453	ACX60_RS02665	-	611	No	181
550368	ACX60_RS02705	-	612	No	21
573047	ACX60_RS02760	-	613	Yes	11541
586396	ACX60_RS02870	-	614	No	26
588209	ACX60_RS02880	-	615	No	24
593694	ACX60_RS02905	-	616	No	54
594945	tgt	-	617	No	73
597946	ACX60_RS02925	-	618	No	24
621948	ACX60_RS03035	-	619	No	23
623911	ACX60_RS03040	-	620	No	68
634182	ACX60_RS03080	-	621	No	74
634280	ACX60_RS03080	-	622	No	172
638803	ACX60_RS03100	-	623	No	23
640156	ACX60_RS03105	-	624	No	90
661945	ACX60_RS03205	-	625	Yes	207
665481	ACX60_RS03230	-	626	No	37
670246	ACX60_RS03245	-	627	No	94
680688	ACX60_RS03290	-	628	No	104
685698	ACX60_RS03310	-	629	Yes	434
687749	ACX60_RS03320	-	630	No	29
692093	ACX60_RS03345	-	631	No	31
692138	ACX60_RS03345	-	632	No	76
692802	ACX60_RS03345	-	633	No	740
698921	ACX60_RS03375	-	634	No	21
699802	ACX60_RS03380	-	635	No	34
718784	ACX60_RS03455	-	636	No	32
719048	ACX60_RS03460	-	637	No	30
726439	ACX60_RS03520	-	638	No	23
728750	ACX60_RS03525	-	639	No	110
746463	ACX60_RS03600	-	640	No	37
756198	ACX60_RS03650	-	641	No	115
766410	ACX60_RS03700	-	642	No	22
770919	ACX60_RS03725	-	643	No	52
798424	ACX60_RS03840	-	644	No	44
798466	ACX60_RS03840	-	645	No	86
